,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
1,0 days 00:19:49.757000,1,0 days 00:01:34.167000,2,1,,,0 days 00:00:35.003000,0 days 00:00:29.904000,0 days 00:00:29.260000,0 days 00:18:50.593000,0 days 00:19:20.497000,0 days 00:19:49.757000,277.0,321.0,294.0,327.0,False,HARD,2.0,True,0 days 00:18:15.590000,Red Bull Racing,VER,1,True,2022-03-25 14:03:17.023000,Practice 1
3,0 days 00:23:19.557000,1,0 days 00:01:31.885000,4,1,,,0 days 00:00:33.945000,0 days 00:00:29.226000,0 days 00:00:28.714000,0 days 00:22:21.617000,0 days 00:22:50.843000,0 days 00:23:19.557000,279.0,327.0,297.0,331.0,False,HARD,4.0,True,0 days 00:21:47.672000,Red Bull Racing,VER,1,True,2022-03-25 14:06:49.105000,Practice 1
5,0 days 00:27:10.263000,1,0 days 00:01:31.298000,6,1,,,0 days 00:00:33.825000,0 days 00:00:29.070000,0 days 00:00:28.403000,0 days 00:26:12.790000,0 days 00:26:41.860000,0 days 00:27:10.263000,279.0,325.0,296.0,330.0,False,HARD,6.0,True,0 days 00:25:38.965000,Red Bull Racing,VER,1,True,2022-03-25 14:10:40.398000,Practice 1
7,0 days 00:30:59.102000,1,0 days 00:01:30.888000,8,1,,,0 days 00:00:33.507000,0 days 00:00:28.980000,0 days 00:00:28.401000,0 days 00:30:01.721000,0 days 00:30:30.701000,0 days 00:30:59.102000,282.0,324.0,297.0,329.0,True,HARD,8.0,True,0 days 00:29:28.214000,Red Bull Racing,VER,1,True,2022-03-25 14:14:29.647000,Practice 1
14,0 days 01:04:01.265000,1,0 days 00:01:36.267000,15,3,,,0 days 00:00:35.633000,0 days 00:00:30.721000,0 days 00:00:29.913000,0 days 01:03:00.631000,0 days 01:03:31.352000,0 days 01:04:01.265000,276.0,299.0,281.0,305.0,False,SOFT,7.0,False,0 days 01:02:24.998000,Red Bull Racing,VER,1,True,2022-03-25 14:47:26.431000,Practice 1
15,0 days 01:05:37.176000,1,0 days 00:01:35.911000,16,3,,,0 days 00:00:35.714000,0 days 00:00:30.416000,0 days 00:00:29.781000,0 days 01:04:36.979000,0 days 01:05:07.395000,0 days 01:05:37.176000,275.0,299.0,279.0,306.0,False,SOFT,8.0,False,0 days 01:04:01.265000,Red Bull Racing,VER,1,True,2022-03-25 14:49:02.698000,Practice 1
16,0 days 01:07:12.884000,1,0 days 00:01:35.708000,17,3,,,0 days 00:00:35.637000,0 days 00:00:30.404000,0 days 00:00:29.667000,0 days 01:06:12.813000,0 days 01:06:43.217000,0 days 01:07:12.884000,277.0,298.0,280.0,307.0,False,SOFT,9.0,False,0 days 01:05:37.176000,Red Bull Racing,VER,1,True,2022-03-25 14:50:38.609000,Practice 1
17,0 days 01:08:48.873000,1,0 days 00:01:35.989000,18,3,,,0 days 00:00:35.591000,0 days 00:00:30.419000,0 days 00:00:29.979000,0 days 01:07:48.475000,0 days 01:08:18.894000,0 days 01:08:48.873000,274.0,299.0,274.0,301.0,False,SOFT,10.0,False,0 days 01:07:12.884000,Red Bull Racing,VER,1,True,2022-03-25 14:52:14.317000,Practice 1
19,0 days 01:12:14.628000,1,0 days 00:01:35.517000,20,3,,,0 days 00:00:35.498000,0 days 00:00:30.375000,0 days 00:00:29.644000,0 days 01:11:14.609000,0 days 01:11:44.984000,0 days 01:12:14.628000,274.0,294.0,281.0,303.0,False,SOFT,12.0,False,0 days 01:10:39.111000,Red Bull Racing,VER,1,True,2022-03-25 14:55:40.544000,Practice 1
20,0 days 01:13:50.404000,1,0 days 00:01:35.776000,21,3,,,0 days 00:00:35.376000,0 days 00:00:30.438000,0 days 00:00:29.962000,0 days 01:12:50.004000,0 days 01:13:20.442000,0 days 01:13:50.404000,272.0,296.0,281.0,301.0,False,SOFT,13.0,False,0 days 01:12:14.628000,Red Bull Racing,VER,1,True,2022-03-25 14:57:16.061000,Practice 1
