,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Session
1,0 days 00:20:26.667000,1,0 days 00:01:48.574000,2,1,,,0 days 00:00:38.508000,0 days 00:00:44.141000,0 days 00:00:25.925000,0 days 00:19:16.601000,0 days 00:20:00.742000,0 days 00:20:26.667000,194.0,195.0,333.0,313.0,False,MEDIUM,2.0,True,0 days 00:18:38.093000,Red Bull Racing,VER,1,True,2022-06-10 11:03:39.831000,Practice 1
4,0 days 00:27:04.274000,1,0 days 00:01:46.932000,5,1,,,0 days 00:00:37.753000,0 days 00:00:43.278000,0 days 00:00:25.901000,0 days 00:25:55.095000,0 days 00:26:38.373000,0 days 00:27:04.274000,204.0,205.0,334.0,312.0,False,MEDIUM,5.0,True,0 days 00:25:17.342000,Red Bull Racing,VER,2,True,2022-06-10 11:10:19.080000,Practice 1
8,0 days 00:36:46.755000,1,0 days 00:01:46.477000,9,2,,,0 days 00:00:37.746000,0 days 00:00:42.691000,0 days 00:00:26.040000,0 days 00:35:38.024000,0 days 00:36:20.715000,0 days 00:36:46.755000,209.0,216.0,331.0,310.0,False,MEDIUM,10.0,,0 days 00:35:00.278000,Red Bull Racing,VER,1,True,2022-06-10 11:20:02.016000,Practice 1
12,0 days 00:51:01.995000,1,0 days 00:01:45.810000,13,3,,,0 days 00:00:37.090000,0 days 00:00:42.625000,0 days 00:00:26.095000,0 days 00:49:53.275000,0 days 00:50:35.900000,0 days 00:51:01.995000,208.0,209.0,330.0,310.0,True,SOFT,4.0,True,0 days 00:49:16.185000,Red Bull Racing,VER,1,True,2022-06-10 11:34:17.923000,Practice 1
14,0 days 00:55:14.229000,1,0 days 00:01:46.065000,15,3,,,0 days 00:00:37.308000,0 days 00:00:42.668000,0 days 00:00:26.089000,0 days 00:54:05.472000,0 days 00:54:48.140000,0 days 00:55:14.229000,214.0,210.0,330.0,311.0,False,SOFT,6.0,True,0 days 00:53:28.164000,Red Bull Racing,VER,1,True,2022-06-10 11:38:29.902000,Practice 1
17,0 days 01:07:37.724000,1,0 days 00:01:49.376000,18,4,,,0 days 00:00:39.034000,0 days 00:00:43.723000,0 days 00:00:26.619000,0 days 01:06:27.382000,0 days 01:07:11.105000,0 days 01:07:37.724000,199.0,203.0,313.0,309.0,False,MEDIUM,13.0,False,0 days 01:05:48.348000,Red Bull Racing,VER,1,True,2022-06-10 11:50:50.086000,Practice 1
18,0 days 01:09:26.533000,1,0 days 00:01:48.809000,19,4,,,0 days 00:00:38.628000,0 days 00:00:43.756000,0 days 00:00:26.425000,0 days 01:08:16.352000,0 days 01:09:00.108000,0 days 01:09:26.533000,,204.0,309.0,310.0,False,MEDIUM,14.0,False,0 days 01:07:37.724000,Red Bull Racing,VER,1,True,2022-06-10 11:52:39.462000,Practice 1
19,0 days 01:11:15.334000,1,0 days 00:01:48.801000,20,4,,,0 days 00:00:38.557000,0 days 00:00:43.820000,0 days 00:00:26.424000,0 days 01:10:05.090000,0 days 01:10:48.910000,0 days 01:11:15.334000,205.0,199.0,312.0,311.0,False,MEDIUM,15.0,False,0 days 01:09:26.533000,Red Bull Racing,VER,1,True,2022-06-10 11:54:28.271000,Practice 1
20,0 days 01:13:04.763000,1,0 days 00:01:49.429000,21,4,,,0 days 00:00:38.388000,0 days 00:00:44.716000,0 days 00:00:26.325000,0 days 01:11:53.722000,0 days 01:12:38.438000,0 days 01:13:04.763000,210.0,192.0,318.0,310.0,False,MEDIUM,16.0,False,0 days 01:11:15.334000,Red Bull Racing,VER,2,True,2022-06-10 11:56:17.072000,Practice 1
21,0 days 01:14:54.123000,1,0 days 00:01:49.360000,22,4,,,0 days 00:00:38.380000,0 days 00:00:44.337000,0 days 00:00:26.643000,0 days 01:13:43.143000,0 days 01:14:27.480000,0 days 01:14:54.123000,208.0,190.0,314.0,309.0,False,MEDIUM,17.0,False,0 days 01:13:04.763000,Red Bull Racing,VER,1,True,2022-06-10 11:58:06.501000,Practice 1
